Institución,Sector
Asapaen Gimnasio Los Cerezos (Calendario B),No oficial
Aspaen Preescolar Urapanes (Calendario B),No oficial
Censa (Clei),No oficial
Centro Educativo Ased (Clei),No oficial
Colegio Americano,No oficial
Colegio Boston (Clei),No oficial
Colegio Cultural Andino,No oficial
Colegio De Nuestra Señora Del Rosario,No oficial
Colegio Eugenia Ravasco,No oficial
Colegio Filipense Nuestra Señora De Lourdes,No oficial
Colegio Franciscano Agustin Gemelli,No oficial
Colegio Hijas de los Sagrados Corazones,No oficial
Colegio Lions Bellavista,No oficial
Colegio Los Libertadores (Clei),No oficial
Colegio Mayor de Nuestra Señora,No oficial
Colegio Nuestra Señora De Fátima,No oficial
Colegio Nuevo Gimnasio,No oficial
Colegio Reggio Emilia,No oficial
Colegio Saberes (Clei),No oficial
Colegio San Luis Gonzaga (Calendario B),No oficial
Colegio San Miguel Limitada,No oficial
Colegio Santa Ines,No oficial
Colegio Seminario Menor de Nuestra Señora Del Rosario,No oficial
"Colegio Seminario Redentorista ""San Clemente Maria Hofbauer""",No oficial
Corporación Alberto Arango Restrepo - Ceder,No oficial
Gimnasio Artistico Guamal,No oficial
Gimnasio Campestre La Consolata - Colegio Bilingüe Nacional,No oficial
Gimnasio Los Andes,No oficial
Gimnasio San Felipe Neri,No oficial
Instituto Nueva Colombia,No oficial
Instituto Para la Ciencia,No oficial
Instituto Tecnico San Rafael,No oficial
Jardin Infantil Burbujitas,No oficial
Jardin Infantil Confa,No oficial
Jardin Infantil Experiencias,No oficial
Jardin Infantil Exploradores,No oficial
Jardin Infantil Juan Jacobo Rousseau,No oficial
Jardin Infantil La Anunciacion,No oficial
Jardin Infantil Los Pitufos,No oficial
Jardin Infantil Madagascar,No oficial
Jardin Infantil Mis Colores,No oficial
Jardin Infantil Mundo de Colores S.A.S.,No oficial
Jardin Infantil Parvulos,No oficial
Jardin Infantil Perpetuo Socorro,No oficial
Jardin Infantil Saltarines,No oficial
Jardin Infantil Semillita,No oficial
Jardin Infantil y Centro De Estimulacion Huellas,No oficial
Jardin Infantil y Guarderia Moninos,No oficial
Liceo Arquidiocesano de Nuestra Señora - Lans,No oficial
Liceo Bosques del Saber,No oficial
Liceo Capullitos,No oficial
Liceo Educativo Crearte,No oficial
Liceo Ideales,No oficial
Liceo Infantil Expresiones Pedagogicas,No oficial
Liceo Infantil Ilusiones,No oficial
Liceo Infantil Niños 2000,No oficial
Liceo Infantil Travesuras,No oficial
Liceo Integrado Manizales,No oficial
Liceo Mis Primeras Pinceladas,No oficial
Liceo Nuevos Intelectos,No oficial
Liceo San Marcos / Virtual (Clei),No oficial
Liceo Santa Maria,No oficial
Centro Educativo Rural La Palma,Oficial
IE Adolfo Hoyos Ocampo,Oficial
IE Andres Bello,Oficial
IE Atanasio Girardot,Oficial
IE Bosques del Norte,Oficial
IE Colegio de Cristo,Oficial
IE Colegio Perpetuo Socorro,Oficial
IE Escuela Nacional Auxiliar de Enfermeria,Oficial
IE Escuela Normal Superior de Caldas,Oficial
IE Escuela Normal Superior de Manizales,Oficial
IE Estambul,Oficial
IE Eugenio Pacelli,Oficial
IE Fe Y Alegria La Paz,Oficial
IE Gran Colombia,Oficial
IE Inem Baldomero Sanin Cano,Oficial
IE Instituto Chipre,Oficial
IE Instituto Latinoamericano,Oficial
IE Instituto Manizales,Oficial
IE Instituto Técnico Francisco José de Caldas,Oficial
IE Instituto Técnico Marco Fidel Suarez,Oficial
IE Instituto Universitario de Caldas,Oficial
IE La Asuncion,Oficial
IE La Linda,Oficial
IE La Sultana,Oficial
IE Leonardo Da Vinci,Oficial
IE Liceo Isabel La Catolica,Oficial
IE Liceo León Liceo De Greiff,Oficial
IE Liceo Mixto Sinai,Oficial
IE Malabar,Oficial
IE Malteria,Oficial
IE Mariscal Sucre,Oficial
IE Pablo VI,Oficial
IE Rural Giovanni Montini,Oficial
IE Rural Granada,Oficial
IE Rural Jose Antonio Galán,Oficial
IE Rural La Cabaña,Oficial
IE Rural La Trinidad,Oficial
IE Rural La Violeta,Oficial
IE Rural Maria Goretti,Oficial
IE Rural Miguel Antonio Caro,Oficial
IE Rural Rafael Pombo,Oficial
IE Rural San Peregrino,Oficial
IE Rural Serafico San Antonio de Padua,Oficial
IE San Jorge,Oficial
IE San Juan Bautista de la Salle,Oficial
IE San Pio X,Oficial
IE San Sebastián,Oficial
IE Santo Domingo Savio,Oficial
IE Siete de Agosto,Oficial
IE Villa del Pilar,Oficial
